Well,Fluor,End RFU
A01,SYBR,5938.96319
A02,SYBR,6665.284426
A03,SYBR,7012.978221
A04,SYBR,6755.453221
A05,SYBR,7338.183425
A06,SYBR,6747.770461
A07,SYBR,7247.614803
A08,SYBR,7100.319736
A09,SYBR,7212.722832
A10,SYBR,7187.844915
A11,SYBR,6698.767054
A12,SYBR,7089.024184
A13,SYBR,6818.312772
A14,SYBR,7087.698873
A15,SYBR,6448.873514
A16,SYBR,6521.962104
A17,SYBR,5515.010525
A18,SYBR,6014.41861
A19,SYBR,4541.595879
A20,SYBR,3334.275557
A21,SYBR,3287.628669
A22,SYBR,3301.694624
A23,SYBR,5.357723426
A24,SYBR,-1.679124705
B01,SYBR,6475.951505
B02,SYBR,-13.35950457
B03,SYBR,6964.232153
B04,SYBR,-10.85242122
B05,SYBR,7189.045502
B06,SYBR,-8.009962086
B07,SYBR,7087.441055
B08,SYBR,-7.948198224
B09,SYBR,6958.525817
B10,SYBR,-2.746593996
B11,SYBR,7164.659171
B12,SYBR,-3.190350637
B13,SYBR,6741.083404
B14,SYBR,231.5512582
B15,SYBR,6512.974452
B16,SYBR,245.1476157
B17,SYBR,6263.013224
B18,SYBR,274.7615504
B19,SYBR,5555.299755
B20,SYBR,-4.794839138
B21,SYBR,4156.478301
B22,SYBR,296.0338519
B23,SYBR,3065.980718
B24,SYBR,-8.010203671
C01,SYBR,6626.706638
C02,SYBR,6588.268264
C03,SYBR,6333.303477
C04,SYBR,6768.632581
C05,SYBR,6900.921025
C06,SYBR,6807.680607
C07,SYBR,6637.370452
C08,SYBR,6792.946749
C09,SYBR,6662.966429
C10,SYBR,6756.235544
C11,SYBR,6635.249534
C12,SYBR,6731.466123
C13,SYBR,6649.503342
C14,SYBR,6494.641168
C15,SYBR,6163.730468
C16,SYBR,5962.125561
C17,SYBR,5759.197304
C18,SYBR,6075.267659
C19,SYBR,4426.441538
C20,SYBR,4435.779897
C21,SYBR,3468.426141
C22,SYBR,5.021798913
C23,SYBR,2455.572479
C24,SYBR,1.661236562
D01,SYBR,6343.321531
D02,SYBR,-10.50935766
D03,SYBR,7047.057907
D04,SYBR,-9.246773674
D05,SYBR,7217.50283
D06,SYBR,-8.180483322
D07,SYBR,7281.16563
D08,SYBR,-7.598844237
D09,SYBR,6978.765121
D10,SYBR,-6.019372896
D11,SYBR,7044.047522
D12,SYBR,-2.472301843
D13,SYBR,6581.029019
D14,SYBR,-3.760598069
D15,SYBR,6084.763366
D16,SYBR,-1.589724689
D17,SYBR,5475.936192
D18,SYBR,-3.042021425
D19,SYBR,3848.693505
D20,SYBR,-4.853767456
D21,SYBR,720.2944629
D22,SYBR,-10.61469734
D23,SYBR,-2.096902481
D24,SYBR,-10.22058717
E01,SYBR,6615.614158
E02,SYBR,6311.32521
E03,SYBR,7019.336467
E04,SYBR,7323.115119
E05,SYBR,7289.849744
E06,SYBR,7242.689025
E07,SYBR,6883.459838
E08,SYBR,7098.680051
E09,SYBR,7023.842843
E10,SYBR,7146.276845
E11,SYBR,6793.747463
E12,SYBR,7260.349253
E13,SYBR,7030.876521
E14,SYBR,7054.065596
E15,SYBR,6252.643197
E16,SYBR,6744.99328
E17,SYBR,5887.835056
E18,SYBR,5934.158975
E19,SYBR,5139.659921
E20,SYBR,4630.910984
E21,SYBR,5.84123496
E22,SYBR,-1.761688369
E23,SYBR,3392.146929
E24,SYBR,2287.409285
F01,SYBR,6405.205536
F02,SYBR,-12.93019251
F03,SYBR,7309.188681
F04,SYBR,-9.218804907
F05,SYBR,7504.039184
F06,SYBR,-6.992626489
F07,SYBR,7319.099534
F08,SYBR,-8.472914422
F09,SYBR,7024.357387
F10,SYBR,-7.148849668
F11,SYBR,7090.707966
F12,SYBR,-5.966485374
F13,SYBR,7184.172199
F14,SYBR,-1.768835606
F15,SYBR,7045.47927
F16,SYBR,-2.69315689
F17,SYBR,6320.752309
F18,SYBR,245.6771511
F19,SYBR,5181.889208
F20,SYBR,-4.911937158
F21,SYBR,2281.090245
F22,SYBR,290.6204099
F23,SYBR,-2.929941809
F24,SYBR,-8.799861675
G01,SYBR,6136.86596
G02,SYBR,5955.393322
G03,SYBR,3760.730393
G04,SYBR,2385.147975
G05,SYBR,6541.142747
G06,SYBR,6566.622257
G07,SYBR,3.549824013
G08,SYBR,-2.391894193
G09,SYBR,6020.589085
G10,SYBR,6109.334897
G11,SYBR,5.179701562
G12,SYBR,-1.759801084
G13,SYBR,-1.470447284
G14,SYBR,3503.613976
G15,SYBR,3.797203551
G16,SYBR,-1.425291795
G17,SYBR,-1.382806096
G18,SYBR,-0.998788233
G19,SYBR,-7.888083999
G20,SYBR,-7.366905354
G21,SYBR,-7.372445034
G22,SYBR,-9.619359563
G23,SYBR,-7.680897787
G24,SYBR,322.0224134
H01,SYBR,6386.845307
H02,SYBR,-0.898672332
H03,SYBR,4564.817857
H04,SYBR,-2.743080139
H05,SYBR,6785.172834
H06,SYBR,-5.439258308
H07,SYBR,3309.33965
H08,SYBR,-2.775468193
H09,SYBR,6567.668865
H10,SYBR,-3.226697364
H11,SYBR,82.69581162
H12,SYBR,238.2376229
H13,SYBR,108.7261243
H14,SYBR,-7.86481364
H15,SYBR,-2.70935401
H16,SYBR,-6.892725367
H17,SYBR,-2.181654711
H18,SYBR,-10.55812697
H19,SYBR,-2.542415309
H20,SYBR,-7.045964138
H21,SYBR,294.4004345
H22,SYBR,-4.427348351
H23,SYBR,-5.217571147
H24,SYBR,337.8324075
I01,SYBR,-6.195783486
I02,SYBR,-8.421854928
I03,SYBR,-6.384909096
I04,SYBR,-7.074344729
I05,SYBR,-7.422043941
I06,SYBR,208.428898
I07,SYBR,-7.745286877
I08,SYBR,-4.467122474
I09,SYBR,-4.943191078
I10,SYBR,-5.49878321
I11,SYBR,225.0949231
I12,SYBR,-6.973027612
I13,SYBR,-2.936551851
I14,SYBR,-7.098685623
I15,SYBR,-8.244366726
I16,SYBR,-6.557502098
I17,SYBR,-8.124477079
I18,SYBR,-9.476273348
I19,SYBR,-6.564610928
I20,SYBR,283.9457317
I21,SYBR,-8.110574812
I22,SYBR,-5.800904654
I23,SYBR,-5.878727794
I24,SYBR,-7.449980985
J01,SYBR,-3.932867644
J02,SYBR,-6.519335298
J03,SYBR,-6.244066518
J04,SYBR,-3.522703596
J05,SYBR,-8.303963072
J06,SYBR,-5.515910701
J07,SYBR,-8.886184266
J08,SYBR,-8.132898866
J09,SYBR,-9.752599778
J10,SYBR,-6.88859018
J11,SYBR,-8.3034487
J12,SYBR,-9.45391476
J13,SYBR,-8.916473241
J14,SYBR,-8.712442402
J15,SYBR,-7.753821104
J16,SYBR,257.6691084
J17,SYBR,-6.539790983
J18,SYBR,-8.987769325
J19,SYBR,-7.711470296
J20,SYBR,285.4362245
J21,SYBR,-10.10590559
J22,SYBR,-10.99887595
J23,SYBR,-10.28927916
J24,SYBR,-10.1340332
K01,SYBR,-6.986653404
K02,SYBR,-4.042223275
K03,SYBR,-8.049859553
K04,SYBR,-6.008531147
K05,SYBR,-8.765397079
K06,SYBR,-5.387668564
K07,SYBR,-8.262728466
K08,SYBR,245.4409246
K09,SYBR,-7.109385796
K10,SYBR,-5.615632656
K11,SYBR,210.3684837
K12,SYBR,-3.452564729
K13,SYBR,-7.615458847
K14,SYBR,223.2402039
K15,SYBR,-7.709725435
K16,SYBR,-8.90493242
K17,SYBR,-7.941747937
K18,SYBR,-8.921703295
K19,SYBR,-9.236089375
K20,SYBR,-7.836461551
K21,SYBR,262.191178
K22,SYBR,302.985751
K23,SYBR,287.771242
K24,SYBR,331.6527128
L01,SYBR,-4.684527074
L02,SYBR,-6.881654869
L03,SYBR,-4.397956564
L04,SYBR,254.458394
L05,SYBR,-8.805713526
L06,SYBR,-8.455536704
L07,SYBR,-8.767217573
L08,SYBR,-4.638146171
L09,SYBR,-5.903611289
L10,SYBR,-7.437541486
L11,SYBR,-6.907361833
L12,SYBR,241.493772
L13,SYBR,-4.725407072
L14,SYBR,-8.383766129
L15,SYBR,-5.780807696
L16,SYBR,-7.390369501
L17,SYBR,-6.952279363
L18,SYBR,-10.02674729
L19,SYBR,-10.85607256
L20,SYBR,295.498424
L21,SYBR,-7.874235883
L22,SYBR,300.7165566
L23,SYBR,-9.474395498
L24,SYBR,-10.33725177
M01,SYBR,-9.236729857
M02,SYBR,261.060995
M03,SYBR,-8.650890799
M04,SYBR,247.1265648
M05,SYBR,-7.19616135
M06,SYBR,-7.301521902
M07,SYBR,239.0611759
M08,SYBR,-7.768590883
M09,SYBR,-4.052546154
M10,SYBR,239.4863229
M11,SYBR,-7.794826475
M12,SYBR,-8.860291685
M13,SYBR,-5.494132823
M14,SYBR,-3.221891392
M15,SYBR,-7.764108276
M16,SYBR,-9.709966746
M17,SYBR,-6.778318734
M18,SYBR,-9.822804234
M19,SYBR,-6.38645904
M20,SYBR,-5.080730021
M21,SYBR,287.5578306
M22,SYBR,302.0375418
M23,SYBR,-7.40981393
M24,SYBR,333.7059424
N01,SYBR,-8.864416007
N02,SYBR,-10.14385123
N03,SYBR,-9.838106874
N04,SYBR,-7.824200295
N05,SYBR,-5.560485708
N06,SYBR,-4.183026486
N07,SYBR,-5.572312055
N08,SYBR,215.3372299
N09,SYBR,223.5840622
N10,SYBR,218.33345
N11,SYBR,-9.447679966
N12,SYBR,-8.606884745
N13,SYBR,-3.784840382
N14,SYBR,252.0085186
N15,SYBR,258.9222281
N16,SYBR,-8.273142334
N17,SYBR,296.9085331
N18,SYBR,286.396209
N19,SYBR,280.2589215
N20,SYBR,-9.144242237
N21,SYBR,-10.54193104
N22,SYBR,-10.26833994
N23,SYBR,-10.24539173
N24,SYBR,-10.34465636
O01,SYBR,-4.653506213
O02,SYBR,-8.546794062
O03,SYBR,-8.02958338
O04,SYBR,-6.537442498
O05,SYBR,-6.968383533
O06,SYBR,-6.290262943
O07,SYBR,-6.939334126
O08,SYBR,218.4425977
O09,SYBR,-3.469300383
O10,SYBR,231.5184941
O11,SYBR,-6.852212466
O12,SYBR,-3.818732518
O13,SYBR,-6.41361583
O14,SYBR,218.5768987
O15,SYBR,234.4361498
O16,SYBR,240.3721588
O17,SYBR,-7.672736176
O18,SYBR,255.9161257
O19,SYBR,-7.878122868
O20,SYBR,260.084083
O21,SYBR,298.8683535
O22,SYBR,302.168018
O23,SYBR,304.0717538
O24,SYBR,-11.11882271
P01,SYBR,-8.839428298
P02,SYBR,304.7625853
P03,SYBR,-7.835051902
P04,SYBR,-9.0566721
P05,SYBR,-7.939159709
P06,SYBR,-7.585473355
P07,SYBR,251.1067014
P08,SYBR,278.5212033
P09,SYBR,243.1721173
P10,SYBR,241.9910184
P11,SYBR,-6.227114377
P12,SYBR,251.1490225
P13,SYBR,-7.199119358
P14,SYBR,-7.642875539
P15,SYBR,259.2155603
P16,SYBR,261.3056949
P17,SYBR,257.9515487
P18,SYBR,290.089515
P19,SYBR,285.4230831
P20,SYBR,-5.909643246
P21,SYBR,-8.25601007
P22,SYBR,303.684825
P23,SYBR,-6.61553317
P24,SYBR,-9.949541804